queue_id,sequence,ticket_count,variant_id
Q01,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,24,1
Q01,Open → Assigned → In Progress → Escalated → Resolved → Closed,29,2
Q01,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,24,3
Q01,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,19,4
Q01,Open → Assigned → In Progress → Resolved → Closed,24,5
Q02,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,15,1
Q02,Open → Assigned → In Progress → Escalated → Resolved → Closed,16,2
Q02,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,16,3
Q02,Open → Assigned → In Progress → Pending Follow Up → Resolved → Closed,14,4
Q02,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,16,5
Q02,Open → Assigned → In Progress → Reopened → In Progress → Resolved → Closed,18,6
Q02,Open → Assigned → In Progress → Resolved → Closed,13,7
Q02,Open → Assigned → QA → Resolved → Closed,12,8
Q03,Open → Assigned → In Progress → Escalated → Resolved → Closed,61,1
Q03,Open → Assigned → In Progress → Resolved → Closed,59,2
Q04,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,14,1
Q04,Open → Assigned → In Progress → Escalated → Resolved → Closed,16,2
Q04,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,16,3
Q04,Open → Assigned → In Progress → Pending Follow Up → Resolved → Closed,13,4
Q04,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,13,5
Q04,Open → Assigned → In Progress → Reopened → In Progress → Resolved → Closed,13,6
Q04,Open → Assigned → In Progress → Resolved → Closed,19,7
Q04,Open → Assigned → QA → Resolved → Closed,16,8
Q05,Open → Assigned → In Progress → Escalated → Resolved → Closed,55,1
Q05,Open → Assigned → In Progress → Resolved → Closed,65,2
Q06,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,22,1
Q06,Open → Assigned → In Progress → Escalated → Resolved → Closed,15,2
Q06,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,19,3
Q06,Open → Assigned → In Progress → Pending Follow Up → Resolved → Closed,8,4
Q06,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,16,5
Q06,Open → Assigned → In Progress → Reopened → In Progress → Resolved → Closed,18,6
Q06,Open → Assigned → In Progress → Resolved → Closed,9,7
Q06,Open → Assigned → QA → Resolved → Closed,13,8
Q07,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,18,1
Q07,Open → Assigned → In Progress → Escalated → Resolved → Closed,20,2
Q07,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,9,3
Q07,Open → Assigned → In Progress → Pending Follow Up → Resolved → Closed,14,4
Q07,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,13,5
Q07,Open → Assigned → In Progress → Reopened → In Progress → Resolved → Closed,21,6
Q07,Open → Assigned → In Progress → Resolved → Closed,15,7
Q07,Open → Assigned → QA → Resolved → Closed,10,8
Q08,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,25,1
Q08,Open → Assigned → In Progress → Escalated → Resolved → Closed,20,2
Q08,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,20,3
Q08,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,24,4
Q08,Open → Assigned → In Progress → Resolved → Closed,31,5
Q09,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,30,1
Q09,Open → Assigned → In Progress → Escalated → Resolved → Closed,28,2
Q09,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,12,3
Q09,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,26,4
Q09,Open → Assigned → In Progress → Resolved → Closed,24,5
Q10,Open → Assigned → In Progress → Blocked → In Progress → Resolved → Closed,7,1
Q10,Open → Assigned → In Progress → Escalated → Resolved → Closed,12,2
Q10,Open → Assigned → In Progress → Pending Customer Action → In Progress → Resolved → Closed,20,3
Q10,Open → Assigned → In Progress → Pending Follow Up → Resolved → Closed,26,4
Q10,Open → Assigned → In Progress → Pending Monitoring → Resolved → Closed,18,5
Q10,Open → Assigned → In Progress → Reopened → In Progress → Resolved → Closed,13,6
